date,server,connessioni
2025-11-11,bots,140
2025-11-11,cafe,112
2025-11-11,fixyoutube,102
2025-11-11,public,99
2025-11-12,bots,93
2025-11-12,cafe,93
2025-11-12,fixyoutube,111
2025-11-12,public,166
2025-11-13,bots,182
2025-11-13,cafe,168
2025-11-13,fixyoutube,183
2025-11-13,public,190
2025-11-14,bots,199
2025-11-14,cafe,205
2025-11-14,fixyoutube,253
2025-11-14,public,263
2025-11-15,bots,199
2025-11-15,cafe,193
2025-11-15,fixyoutube,275
2025-11-15,public,45
2025-11-16,bots,99
2025-11-16,cafe,100
2025-11-16,fixyoutube,139
2025-11-17,bots,143
2025-11-17,cafe,164
2025-11-17,fixyoutube,175
2025-11-18,bots,174
2025-11-18,cafe,151
2025-11-18,fixyoutube,171
2025-11-18,public,46
2025-11-19,bots,189
2025-11-19,cafe,196
2025-11-19,fixyoutube,202
2025-11-19,public,66
2025-11-20,bots,139
2025-11-20,cafe,136
2025-11-20,fixyoutube,159
2025-11-20,public,116
2025-11-21,bots,109
2025-11-21,cafe,113
2025-11-21,fixyoutube,140
2025-11-21,public,130
2025-11-22,bots,110
2025-11-22,cafe,106
2025-11-22,fixyoutube,133
2025-11-22,public,142
2025-11-23,bots,142
2025-11-23,cafe,130
2025-11-23,fixyoutube,189
2025-11-23,public,151
2025-11-24,bots,314
2025-11-24,cafe,294
2025-11-24,fixyoutube,298
2025-11-24,public,312
2025-11-25,bots,181
2025-11-25,cafe,180
2025-11-25,fixyoutube,329
2025-11-25,public,203
2025-11-26,bots,107
2025-11-26,cafe,108
2025-11-26,fixyoutube,141
2025-11-26,public,176
2025-11-27,bots,121
2025-11-27,cafe,123
2025-11-27,fixyoutube,205
2025-11-27,public,167
2025-11-28,bots,357
2025-11-28,cafe,351
2025-11-28,fixyoutube,391
2025-11-28,public,436
2025-11-29,bots,76
2025-11-29,cafe,74
2025-11-29,fixyoutube,156
2025-11-29,public,120
2025-11-30,bots,87
2025-11-30,cafe,84
2025-11-30,fixyoutube,114
2025-11-30,public,148
2025-12-01,bots,102
2025-12-01,cafe,105
2025-12-01,fixyoutube,150
2025-12-01,public,137
2025-12-02,bots,100
2025-12-02,cafe,101
2025-12-02,fixyoutube,111
2025-12-02,public,116
2025-12-03,bots,119
2025-12-03,cafe,118
2025-12-03,fixyoutube,127
2025-12-03,public,172
